MAC,Timestamp,Signal Quality,Channel Frequency
8e:db:83:ba:e4:66,1677595978.6151679,81,2462
00:d0:2d:e3:92:c3,1677595987.3173087,86,2462
16:c5:e7:d5:21:c2,1677595991.545503,81,2427
8a:4a:c4:e1:a0:32,1677595992.1769013,95,2457
00:d0:2d:e3:92:c3,1677595995.3845212,81,2462
00:d0:2d:e3:92:c3,1677595995.3961716,86,2462
00:d0:2d:e3:92:c3,1677595995.442154,81,2462
76:78:70:10:b5:20,1677595995.612179,77,2462
76:78:70:10:b5:20,1677595995.6897233,86,2462
62:d9:5f:b7:22:9c,1677595996.986301,77,2462
86:28:86:f1:ef:e3,1677596004.1196852,59,2462
86:28:86:f1:ef:e3,1677596004.1402168,59,2462
f6:b4:54:64:58:75,1677596006.5876017,72,2462
92:e6:d3:de:8f:2d,1677596009.0959687,77,2417
2a:80:fd:3a:d8:8a,1677596013.3443134,81,2462
8a:bd:18:bf:63:fd,1677596016.4046607,72,2462
8a:bd:18:bf:63:fd,1677596016.4904473,81,2462
8a:bd:18:bf:63:fd,1677596016.556968,72,2462
8a:bd:18:bf:63:fd,1677596016.5779157,72,2462
8a:bd:18:bf:63:fd,1677596016.6620576,72,2462
8a:bd:18:bf:63:fd,1677596016.6822324,77,2462
02:dc:6b:9e:28:3d,1677596018.093607,81,2422
3a:07:1a:df:78:d9,1677596021.223616,18,5660
4a:70:54:f7:fd:a1,1677596022.645491,59,2462
4a:70:54:f7:fd:a1,1677596022.6660016,59,2462
76:4e:a3:20:c8:2e,1677596023.043223,100,2462
76:4e:a3:20:c8:2e,1677596023.069611,59,2462
ae:6b:35:be:ee:ec,1677596023.6051326,72,2462
ae:6b:35:be:ee:ec,1677596023.6253104,68,2462
6e:21:4e:83:e2:84,1677596024.2887018,77,2462
16:2e:81:70:52:c8,1677596024.5462177,68,2462
16:2e:81:70:52:c8,1677596024.5665042,59,2462
3e:4b:53:3e:91:fd,1677596025.6112258,68,2462
3e:4b:53:3e:91:fd,1677596025.6689515,59,2462
5e:86:9b:92:2a:a7,1677596025.785497,59,2462
ca:33:c5:62:2b:86,1677596026.5737667,72,2462
12:e9:4f:e8:a2:50,1677596032.2675018,54,2462
12:e9:4f:e8:a2:50,1677596032.3260741,100,2462
d6:d2:fa:09:1c:4f,1677596032.4375134,100,2462
02:25:98:63:5e:de,1677596032.8468149,100,2462
d6:4e:43:e1:a8:50,1677596035.9754078,100,2427
d6:4e:43:e1:a8:50,1677596036.01682,81,2432
d6:4e:43:e1:a8:50,1677596036.0378158,86,2432
d6:4e:43:e1:a8:50,1677596036.0579436,86,2432
d6:4e:43:e1:a8:50,1677596036.3156693,77,2442
d6:4e:43:e1:a8:50,1677596036.3357933,81,2442
d6:4e:43:e1:a8:50,1677596036.3976061,72,2447
d6:4e:43:e1:a8:50,1677596036.4177911,72,2447
d6:4e:43:e1:a8:50,1677596036.6067142,68,2457
d6:4e:43:e1:a8:50,1677596036.6480715,72,2457
d6:4e:43:e1:a8:50,1677596036.7277048,72,2462
ee:23:4b:74:4c:c8,1677596038.427699,21,5560
ce:1b:2f:24:12:18,1677596049.5189092,72,2462
52:0b:a2:2a:14:a4,1677596049.683762,86,2462
fe:05:a4:db:a7:60,1677596050.610631,68,2462
32:3c:52:34:e1:61,1677596052.6432474,72,2462
32:3c:52:34:e1:61,1677596052.6449172,68,2462
32:3c:52:34:e1:61,1677596052.6459093,72,2462
32:3c:52:34:e1:61,1677596052.6459374,72,2462
32:3c:52:34:e1:61,1677596052.6459713,68,2462
32:3c:52:34:e1:61,1677596052.6483033,68,2462
32:3c:52:34:e1:61,1677596052.6496081,72,2462
32:3c:52:34:e1:61,1677596052.6655962,63,2462
32:3c:52:34:e1:61,1677596052.6756377,59,2462
32:3c:52:34:e1:61,1677596052.6769996,59,2462
32:3c:52:34:e1:61,1677596052.684544,68,2462
72:24:4c:07:ad:28,1677596066.238278,68,2462
42:77:fc:69:a0:9d,1677596067.932725,59,2462
42:77:fc:69:a0:9d,1677596067.9508328,100,2462
a2:10:56:f8:02:a7,1677596069.5463357,77,2462
e2:73:5e:96:d5:30,1677596069.589339,68,2462
98:80:ee:f3:1a:76,1677596075.557991,81,2462
52:71:40:43:f2:f0,1677596077.7600372,77,2462
00:d0:2d:e3:92:c3,1677596079.4022532,77,2462
82:67:dd:6c:cb:6c,1677596081.8744934,24,5240
82:67:dd:6c:cb:6c,1677596081.929712,21,5240
bc:d0:74:32:8c:6d,1677596082.4521523,9,5500
bc:d0:74:32:8c:6d,1677596082.4624023,24,5500
da:a1:19:72:c0:c9,1677596084.2064183,63,2462
da:a1:19:72:c0:c9,1677596084.275694,63,2462
da:a1:19:72:c0:c9,1677596084.2977464,100,2462
