MAC,Timestamp,Signal Quality,Channel Frequency
7e:72:a3:08:08:07,1677513160.0823276,77,2417
da:c0:6b:06:b8:01,1677513164.4376328,81,2412
00:d0:2d:e3:92:c3,1677513169.4401536,86,2437
00:d0:2d:e3:92:c3,1677513169.4599571,86,2437
4e:4d:98:fa:88:fc,1677513194.380124,81,2412
00:d0:2d:e3:92:c3,1677513203.1711094,86,2412
36:70:45:64:20:16,1677513206.6330445,18,5300
36:70:45:64:20:16,1677513206.6330748,18,5300
36:70:45:64:20:16,1677513206.6331367,24,5300
36:70:45:64:20:16,1677513206.6331708,21,5300
36:70:45:64:20:16,1677513206.6485455,15,5300
36:70:45:64:20:16,1677513206.6485746,21,5300
36:70:45:64:20:16,1677513206.7055912,9,5320
36:70:45:64:20:16,1677513206.705641,9,5320
36:70:45:64:20:16,1677513206.7230248,9,5320
00:d0:2d:e3:92:c3,1677513219.2809186,81,2412
6a:c3:18:3a:31:af,1677513222.4140735,77,2427
6a:c3:18:3a:31:af,1677513222.4313862,77,2427
6a:c3:18:3a:31:af,1677513222.4391365,77,2427
6a:c3:18:3a:31:af,1677513222.5046475,72,2432
6a:c3:18:3a:31:af,1677513222.5070133,72,2432
6a:c3:18:3a:31:af,1677513222.5118499,72,2432
6a:c3:18:3a:31:af,1677513222.5274916,72,2432
6a:c3:18:3a:31:af,1677513222.5298343,72,2432
6a:c3:18:3a:31:af,1677513222.5322912,72,2432
6a:c3:18:3a:31:af,1677513222.534737,72,2432
6a:c3:18:3a:31:af,1677513222.588137,77,2432
6a:c3:18:3a:31:af,1677513222.6065834,77,2432
6a:c3:18:3a:31:af,1677513222.6089432,77,2432
6a:c3:18:3a:31:af,1677513222.611311,77,2432
6a:c3:18:3a:31:af,1677513222.6138868,86,2432
6a:c3:18:3a:31:af,1677513222.6186993,77,2437
6a:c3:18:3a:31:af,1677513222.624209,72,2437
6a:c3:18:3a:31:af,1677513222.627126,72,2437
6a:c3:18:3a:31:af,1677513222.703935,81,2437
76:05:94:e4:81:55,1677513236.9368298,81,2412
76:05:94:e4:81:55,1677513236.9408796,72,2412
76:05:94:e4:81:55,1677513236.9447832,72,2412
76:05:94:e4:81:55,1677513236.946717,72,2412
76:05:94:e4:81:55,1677513236.9480157,72,2412
76:05:94:e4:81:55,1677513236.9491637,68,2412
76:05:94:e4:81:55,1677513236.9513726,72,2412
76:05:94:e4:81:55,1677513236.9523926,72,2412
76:05:94:e4:81:55,1677513236.958157,68,2412
76:05:94:e4:81:55,1677513236.9632487,72,2412
76:05:94:e4:81:55,1677513236.9661515,72,2412
76:05:94:e4:81:55,1677513236.9683661,72,2412
76:05:94:e4:81:55,1677513236.9708612,72,2412
76:05:94:e4:81:55,1677513236.9732897,72,2412
76:05:94:e4:81:55,1677513236.9758515,72,2412
76:05:94:e4:81:55,1677513236.9802601,72,2412
76:05:94:e4:81:55,1677513236.9827142,72,2412
76:05:94:e4:81:55,1677513236.9868488,72,2412
76:05:94:e4:81:55,1677513236.9947693,72,2412
76:05:94:e4:81:55,1677513236.997885,72,2412
76:05:94:e4:81:55,1677513237.00671,72,2412
76:05:94:e4:81:55,1677513237.0720363,72,2412
76:05:94:e4:81:55,1677513237.074147,77,2412
76:05:94:e4:81:55,1677513237.0779877,77,2412
76:05:94:e4:81:55,1677513237.0832691,77,2412
76:05:94:e4:81:55,1677513237.09882,72,2412
76:05:94:e4:81:55,1677513237.1066005,72,2412
00:d0:2d:e3:92:c3,1677513245.1574829,86,2412
00:d0:2d:e3:92:c3,1677513245.1744914,86,2412
76:0b:18:bf:06:d7,1677513250.191698,81,2472
00:d0:2d:e3:92:c3,1677513253.2397757,86,2412
f2:c8:11:0c:e0:5b,1677513276.3070416,86,2452
f2:c8:11:0c:e0:5b,1677513276.3587468,77,2457
2e:dc:ca:55:eb:80,1677513279.7765794,86,2412
2e:dc:ca:55:eb:80,1677513279.8166752,86,2412
8a:56:8b:9b:a5:94,1677513293.9369838,68,2447
aa:35:93:3a:a6:e7,1677513293.962001,63,2447
7a:cd:3b:db:f5:6a,1677513294.0533268,81,2452
7a:cd:3b:db:f5:6a,1677513294.053356,81,2452
7a:cd:3b:db:f5:6a,1677513294.102692,81,2452
7a:cd:3b:db:f5:6a,1677513294.1509533,81,2457
26:f5:15:09:1f:ee,1677513298.719684,86,2412
6e:e4:72:14:f5:86,1677513299.6752152,81,2412
3e:f7:c9:2c:29:77,1677513302.6965418,90,2442
06:ec:51:b5:c2:ea,1677513302.6982288,90,2442
8a:dd:5f:dc:c4:98,1677513308.732214,77,2412
26:d2:3e:3a:86:37,1677513308.7374666,81,2412
00:d0:2d:e3:92:c3,1677513311.5912142,100,2442
