MAC,Timestamp,Signal Quality,Channel Frequency
56:dc:bc:b8:b9:a0,1677968336.5002453,68,2422
56:dc:bc:b8:b9:a0,1677968336.5280213,77,2422
d6:12:14:39:7b:5d,1677968348.2490864,90,2422
00:d0:2d:e3:92:c3,1677968374.0578585,86,2422
00:d0:2d:e3:92:c3,1677968407.9968383,90,2422
00:d0:2d:e3:92:c3,1677968408.0197575,100,2422
7a:b2:19:70:a2:e2,1677968421.2852724,100,2442
60:14:b3:65:c6:73,1677968455.0789983,86,2422
60:14:b3:65:c6:73,1677968455.0838902,81,2422
00:d0:2d:e3:92:c3,1677968474.1969326,81,2422
00:d0:2d:e3:92:c3,1677968500.0564084,95,2422
00:d0:2d:e3:92:c3,1677968516.1834643,95,2422
00:d0:2d:e3:92:c3,1677968533.9926903,86,2422
9a:d5:9d:7a:3a:70,1677968566.9419334,95,2422
00:d0:2d:e3:92:c3,1677968576.0173283,90,2422
7e:e7:0e:cb:fc:52,1677968591.2483234,21,5220
fa:c0:df:17:99:5f,1677968606.6567464,100,2422
8a:10:78:a5:dc:9f,1677968623.9286163,100,2422
8a:10:78:a5:dc:9f,1677968623.9558735,77,2422
8a:10:78:a5:dc:9f,1677968623.9818804,100,2422
00:d0:2d:e3:92:c3,1677968626.5161684,100,2472
9a:9e:52:2e:49:24,1677968633.4893034,68,2422
00:d0:2d:e3:92:c3,1677968634.0724664,90,2417
00:d0:2d:e3:92:c3,1677968634.0975263,86,2417
00:d0:2d:e3:92:c3,1677968676.1411774,100,2422
00:d0:2d:e3:92:c3,1677968710.0796163,77,2422
de:34:8c:55:bd:e7,1677968732.8964834,95,2462
00:d0:2d:e3:92:c3,1677968768.5983784,86,2467
00:d0:2d:e3:92:c3,1677968768.6408453,81,2472
e2:f7:49:08:ec:15,1677968771.9143884,100,2422
00:d0:2d:e3:92:c3,1677968786.4295743,86,2472
00:d0:2d:e3:92:c3,1677968794.0238583,86,2417
00:d0:2d:e3:92:c3,1677968794.0413833,81,2417
96:87:72:dc:8d:59,1677968798.9844682,86,2422
96:87:72:dc:8d:59,1677968799.0047383,86,2422
00:d0:2d:e3:92:c3,1677968810.1850173,100,2422
00:d0:2d:e3:92:c3,1677968810.2062793,86,2422
de:59:53:c4:99:2a,1677968812.4355903,81,2442
00:d0:2d:e3:92:c3,1677968828.0024433,86,2422
00:d0:2d:e3:92:c3,1677968828.0186753,77,2422
00:d0:2d:e3:92:c3,1677968852.2137704,86,2422
00:d0:2d:e3:92:c3,1677968878.0903594,95,2422
00:d0:2d:e3:92:c3,1677968928.5263693,77,2467
00:d0:2d:e3:92:c3,1677968928.5346584,81,2467
00:d0:2d:e3:92:c3,1677968936.0999703,81,2412
ba:c6:51:41:56:19,1677968953.2258952,86,2422
00:d0:2d:e3:92:c3,1677968953.9183953,81,2412
00:d0:2d:e3:92:c3,1677968953.9824913,95,2417
00:d0:2d:e3:92:c3,1677968970.1259103,81,2422
72:48:0f:a3:a7:ef,1677968974.4189334,9,5540
00:d0:2d:e3:92:c3,1677968978.1872025,86,2422
00:d0:2d:e3:92:c3,1677968978.2076442,90,2422
80:38:fb:53:d7:57,1677968982.2964704,39,5220
80:38:fb:53:d7:57,1677968982.4542031,18,5240
00:d0:2d:e3:92:c3,1677968996.0050364,90,2422
00:d0:2d:e3:92:c3,1677968996.0256383,95,2422
00:d0:2d:e3:92:c3,1677969012.1297793,95,2422
00:d0:2d:e3:92:c3,1677969012.1516945,81,2422
00:d0:2d:e3:92:c3,1677969038.0222504,100,2422
3e:5a:cd:b1:ad:f2,1677969039.3963163,68,2422
4e:78:30:fa:7a:66,1677969048.8682284,86,2422
d2:04:33:c5:10:3c,1677969052.9282763,59,2467
d2:04:33:c5:10:3c,1677969053.4442513,48,5220
d2:04:33:c5:10:3c,1677969053.5356684,27,5240
d2:04:33:c5:10:3c,1677969053.5760293,45,5240
6e:26:f6:27:a9:b0,1677969074.4105635,72,2422
1a:ed:88:34:bd:b2,1677969075.3723974,81,2422
62:1a:c2:1d:ac:cf,1677969085.2171125,86,2422
00:d0:2d:e3:92:c3,1677969088.4632802,86,2467
00:d0:2d:e3:92:c3,1677969096.0652215,86,2412
00:d0:2d:e3:92:c3,1677969096.0867555,90,2417
00:d0:2d:e3:92:c3,1677969122.0162616,86,2422
00:d0:2d:e3:92:c3,1677969122.0337174,86,2422
00:d0:2d:e3:92:c3,1677969130.0689883,86,2422
00:d0:2d:e3:92:c3,1677969138.1317494,100,2422
00:d0:2d:e3:92:c3,1677969164.0059314,86,2422
00:d0:2d:e3:92:c3,1677969172.0685334,81,2422
00:d0:2d:e3:92:c3,1677969172.0898554,86,2422
00:d0:2d:e3:92:c3,1677969180.1503825,95,2422
20:1f:3b:29:a2:55,1677969193.8020914,86,2412
00:d0:2d:e3:92:c3,1677969230.5411544,72,2462
00:d0:2d:e3:92:c3,1677969248.3599055,86,2462
00:d0:2d:e3:92:c3,1677969248.3736722,81,2467
00:d0:2d:e3:92:c3,1677969248.3976665,95,2467
00:d0:2d:e3:92:c3,1677969248.4224155,86,2467
00:d0:2d:e3:92:c3,1677969255.9841883,77,2412
00:d0:2d:e3:92:c3,1677969256.0038135,86,2412
00:d0:2d:e3:92:c3,1677969272.1944923,100,2422
00:d0:2d:e3:92:c3,1677969272.2259953,86,2422
00:d0:2d:e3:92:c3,1677969298.0951333,90,2422
00:d0:2d:e3:92:c3,1677969314.1930385,86,2422
00:d0:2d:e3:92:c3,1677969314.2156084,86,2422
00:d0:2d:e3:92:c3,1677969332.0114644,86,2422
00:d0:2d:e3:92:c3,1677969332.0312135,81,2422
00:31:92:ab:a2:43,1677969348.7100635,81,2422
f2:74:09:9d:a3:2f,1677969388.1638844,100,2422
f2:74:09:9d:a3:2f,1677969388.2192414,81,2422
00:d0:2d:e3:92:c3,1677969390.4546585,81,2457
00:d0:2d:e3:92:c3,1677969390.4683015,81,2462
00:d0:2d:e3:92:c3,1677969390.5054424,86,2462
9a:cc:6a:02:ec:b8,1677969402.6965444,86,2422
00:d0:2d:e3:92:c3,1677969440.1891124,86,2422
00:d0:2d:e3:92:c3,1677969440.2148933,95,2422
00:d0:2d:e3:92:c3,1677969466.0758033,86,2422
00:d0:2d:e3:92:c3,1677969466.0969253,86,2422
00:d0:2d:e3:92:c3,1677969474.1401844,86,2422
00:d0:2d:e3:92:c3,1677969474.1550014,86,2422
6a:5a:eb:af:6f:ad,1677969565.2555723,81,2422
7c:38:ad:aa:1f:63,1677969590.9116983,59,2422
7c:38:ad:aa:1f:63,1677969590.9878902,100,2422
7c:38:ad:aa:1f:63,1677969591.0241315,100,2422
7c:38:ad:aa:1f:63,1677969591.0624673,100,2422
7c:38:ad:aa:1f:63,1677969591.1370764,100,2422
7c:38:ad:aa:1f:63,1677969591.1733842,100,2422
7c:38:ad:aa:1f:63,1677969591.2117922,100,2422
7c:38:ad:aa:1f:63,1677969591.2480345,100,2422
00:d0:2d:e3:92:c3,1677969600.1372635,81,2422
00:d0:2d:e3:92:c3,1677969600.1654224,86,2422
7c:38:ad:aa:1f:63,1677969600.7805705,77,2422
7c:38:ad:aa:1f:63,1677969600.8167353,77,2422
7c:38:ad:aa:1f:63,1677969600.8565464,59,2422
7c:38:ad:aa:1f:63,1677969600.9322553,54,2422
7c:38:ad:aa:1f:63,1677969600.9685302,54,2422
7c:38:ad:aa:1f:63,1677969601.0077102,100,2422
7c:38:ad:aa:1f:63,1677969601.0439394,100,2422
7c:38:ad:aa:1f:63,1677969601.0834212,100,2422
7c:38:ad:aa:1f:63,1677969601.1098924,100,2422
7c:38:ad:aa:1f:63,1677969601.1461785,100,2422
7c:38:ad:aa:1f:63,1677969601.3592272,54,2422
7c:38:ad:aa:1f:63,1677969601.3957553,54,2422
00:d0:2d:e3:92:c3,1677969608.2203944,81,2422
7c:38:ad:aa:1f:63,1677969621.5905724,100,2462
00:d0:2d:e3:92:c3,1677969626.0335383,86,2422
00:d0:2d:e3:92:c3,1677969634.0797694,95,2422
7c:38:ad:aa:1f:63,1677969654.7714465,59,2422
7c:38:ad:aa:1f:63,1677969654.8075774,68,2422
7c:38:ad:aa:1f:63,1677969654.9828293,100,2422
7c:38:ad:aa:1f:63,1677969655.0189743,100,2422
7c:38:ad:aa:1f:63,1677969655.0942054,100,2422
7c:38:ad:aa:1f:63,1677969655.1326313,54,2422
7c:38:ad:aa:1f:63,1677969660.1315954,59,2422
7c:38:ad:aa:1f:63,1677969660.1678114,63,2422
7c:38:ad:aa:1f:63,1677969660.3251262,100,2422
7c:38:ad:aa:1f:63,1677969660.3613014,100,2422
7c:38:ad:aa:1f:63,1677969660.3996332,100,2422
7c:38:ad:aa:1f:63,1677969660.4359405,100,2422
7c:38:ad:aa:1f:63,1677969660.4745803,100,2422
7c:38:ad:aa:1f:63,1677969660.5142136,59,2422
7c:38:ad:aa:1f:63,1677969664.6609793,72,2422
7c:38:ad:aa:1f:63,1677969664.7300904,68,2422
7c:38:ad:aa:1f:63,1677969664.7787764,54,2412
7c:38:ad:aa:1f:63,1677969664.8149784,59,2412
7c:38:ad:aa:1f:63,1677969664.8299372,100,2412
7c:38:ad:aa:1f:63,1677969664.8681242,100,2417
7c:38:ad:aa:1f:63,1677969664.9218695,100,2417
7c:38:ad:aa:1f:63,1677969664.9600272,100,2417
7c:38:ad:aa:1f:63,1677969665.2189815,100,2427
7c:38:ad:aa:1f:63,1677969665.2564104,100,2432
7c:38:ad:aa:1f:63,1677969665.2957113,100,2432
7c:38:ad:aa:1f:63,1677969665.3383212,100,2432
7c:38:ad:aa:1f:63,1677969665.3747225,72,2437
7c:38:ad:aa:1f:63,1677969665.4613175,100,2437
7c:38:ad:aa:1f:63,1677969665.4975574,100,2442
7c:38:ad:aa:1f:63,1677969665.5370452,100,2442
