Bin start,Bin end,Number of unique MAC addresses
1677530444.611257,1677530624.611257,13
1677530624.611257,1677530632.104809,0
1677530632.104809,1677530812.104809,6
1677530812.104809,1677530816.0109048,0
1677530816.0109048,1677530996.0109048,17
1677530996.0109048,1677531010.060206,0
1677531010.060206,1677531190.060206,11
1677531190.060206,1677531211.5307157,0
1677531211.5307157,1677531391.5307157,12
1677531391.5307157,1677531404.171071,0
1677531404.171071,1677531584.171071,8
1677531584.171071,1677531588.1478832,0
1677531588.1478832,1677531768.1478832,31
1677531768.1478832,1677531774.0806642,0
1677531774.0806642,1677531954.0806642,32
1677531954.0806642,1677531954.9429638,0
1677531954.9429638,1677532134.9429638,20
1677532134.9429638,1677532137.8395584,0
1677532137.8395584,1677532317.8395584,13
1677532317.8395584,1677532328.2930398,0
1677532328.2930398,1677532508.2930398,10
1677532508.2930398,1677532509.3739493,0
1677532509.3739493,1677532689.3739493,11
1677532689.3739493,1677532689.9818928,0
1677532689.9818928,1677532869.9818928,16
1677532869.9818928,1677532870.2823012,0
1677532870.2823012,1677533050.2823012,12
1677533050.2823012,1677533113.6330538,0
1677533113.6330538,1677533293.6330538,17
1677533293.6330538,1677533294.0455194,0
1677533294.0455194,1677533474.0455194,14
1677533474.0455194,1677533481.2066326,0
1677533481.2066326,1677533661.2066326,14
1677533661.2066326,1677533663.9666314,0
1677533663.9666314,1677533843.9666314,10
1677533843.9666314,1677533847.746221,0
1677533847.746221,1677534027.746221,12
1677534027.746221,1677534044.8849468,0
1677534044.8849468,1677534224.8849468,9
1677534224.8849468,1677534226.05759,0
1677534226.05759,1677534406.05759,12
1677534406.05759,1677534411.8763292,0
1677534411.8763292,1677534591.8763292,15
1677534591.8763292,1677534596.3391168,0
1677534596.3391168,1677534776.3391168,9
1677534776.3391168,1677534789.8553917,0
1677534789.8553917,1677534969.8553917,14
1677534969.8553917,1677534978.892712,0
1677534978.892712,1677535158.892712,13
1677535158.892712,1677535158.9424753,0
1677535158.9424753,1677535338.9424753,10
1677535338.9424753,1677535343.8625603,0
1677535343.8625603,1677535523.8625603,22
1677535523.8625603,1677535527.038417,0
1677535527.038417,1677535707.038417,15
1677535707.038417,1677535713.778418,0
1677535713.778418,1677535893.778418,4
1677535893.778418,1677535940.0594876,0
1677535940.0594876,1677536120.0594876,5
1677536120.0594876,1677536300.0594876,0
1677536300.0594876,1677536480.0594876,0
1677536480.0594876,1677536660.0594876,0
1677536660.0594876,1677536840.0594876,0
1677536840.0594876,1677537020.0594876,0
1677537020.0594876,1677537200.0594876,0
1677537200.0594876,1677537380.0594876,0
1677537380.0594876,1677537560.0594876,0
1677537560.0594876,1677537740.0594876,0
1677537740.0594876,1677537920.0594876,0
1677537920.0594876,1677538100.0594876,0
1677538100.0594876,1677538280.0594876,0
1677538280.0594876,1677538460.0594876,0
1677538460.0594876,1677538640.0594876,0
1677538640.0594876,1677538820.0594876,0
1677538820.0594876,1677539000.0594876,0
1677539000.0594876,1677539180.0594876,0
1677539180.0594876,1677539360.0594876,0
1677539360.0594876,1677539540.0594876,0
1677539540.0594876,1677539720.0594876,0
1677539720.0594876,1677539900.0594876,0
1677539900.0594876,1677540080.0594876,0
1677540080.0594876,1677540260.0594876,0
1677540260.0594876,1677540440.0594876,0
1677540440.0594876,1677540620.0594876,0
1677540620.0594876,1677540800.0594876,0
1677540800.0594876,1677540980.0594876,0
1677540980.0594876,1677541160.0594876,0
1677541160.0594876,1677541340.0594876,0
1677541340.0594876,1677541520.0594876,0
1677541520.0594876,1677541700.0594876,0
1677541700.0594876,1677541880.0594876,0
1677541880.0594876,1677542060.0594876,0
1677542060.0594876,1677542240.0594876,0
1677542240.0594876,1677542420.0594876,0
1677542420.0594876,1677542600.0594876,0
1677542600.0594876,1677542780.0594876,0
1677542780.0594876,1677542960.0594876,0
1677542960.0594876,1677543140.0594876,0
1677543140.0594876,1677543320.0594876,0
1677543320.0594876,1677543500.0594876,0
1677543500.0594876,1677543680.0594876,0
1677543680.0594876,1677543860.0594876,0
1677543860.0594876,1677544040.0594876,0
1677544040.0594876,1677544220.0594876,0
1677544220.0594876,1677544400.0594876,0
1677544400.0594876,1677544580.0594876,0
1677544580.0594876,1677544760.0594876,0
1677544760.0594876,1677544940.0594876,0
1677544940.0594876,1677545120.0594876,0
1677545120.0594876,1677545300.0594876,0
1677545300.0594876,1677545480.0594876,0
1677545480.0594876,1677545660.0594876,0
1677545660.0594876,1677545840.0594876,0
1677545840.0594876,1677546020.0594876,0
1677546020.0594876,1677546200.0594876,0
1677546200.0594876,1677546380.0594876,0
1677546380.0594876,1677546560.0594876,0
1677546560.0594876,1677546740.0594876,0
1677546740.0594876,1677546920.0594876,0
1677546920.0594876,1677547100.0594876,0
1677547100.0594876,1677547280.0594876,0
1677547280.0594876,1677547460.0594876,0
1677547460.0594876,1677547640.0594876,0
1677547640.0594876,1677547820.0594876,0
1677547820.0594876,1677548000.0594876,0
1677548000.0594876,1677548180.0594876,0
1677548180.0594876,1677548360.0594876,0
1677548360.0594876,1677548540.0594876,0
1677548540.0594876,1677548720.0594876,0
1677548720.0594876,1677548900.0594876,0
1677548900.0594876,1677549080.0594876,0
1677549080.0594876,1677549260.0594876,0
1677549260.0594876,1677549440.0594876,0
1677549440.0594876,1677549620.0594876,0
1677549620.0594876,1677549800.0594876,0
1677549800.0594876,1677549980.0594876,0
1677549980.0594876,1677550160.0594876,0
1677550160.0594876,1677550340.0594876,0
1677550340.0594876,1677550520.0594876,0
1677550520.0594876,1677550700.0594876,0
1677550700.0594876,1677550880.0594876,0
1677550880.0594876,1677551060.0594876,0
1677551060.0594876,1677551240.0594876,0
1677551240.0594876,1677551420.0594876,0
1677551420.0594876,1677551600.0594876,0
1677551600.0594876,1677551780.0594876,0
1677551780.0594876,1677551960.0594876,0
1677551960.0594876,1677552140.0594876,0
1677552140.0594876,1677552320.0594876,0
1677552320.0594876,1677552500.0594876,0
1677552500.0594876,1677552680.0594876,0
1677552680.0594876,1677552860.0594876,0
1677552860.0594876,1677553040.0594876,0
1677553040.0594876,1677553220.0594876,0
1677553220.0594876,1677553400.0594876,0
1677553400.0594876,1677553580.0594876,0
1677553580.0594876,1677553760.0594876,0
1677553760.0594876,1677553940.0594876,0
1677553940.0594876,1677554120.0594876,0
1677554120.0594876,1677554300.0594876,0
1677554300.0594876,1677554480.0594876,0
1677554480.0594876,1677554660.0594876,0
1677554660.0594876,1677554840.0594876,0
1677554840.0594876,1677555020.0594876,0
1677555020.0594876,1677555200.0594876,0
1677555200.0594876,1677555380.0594876,0
1677555380.0594876,1677555560.0594876,0
1677555560.0594876,1677555740.0594876,0
1677555740.0594876,1677555920.0594876,0
1677555920.0594876,1677556100.0594876,0
1677556100.0594876,1677556280.0594876,0
1677556280.0594876,1677556460.0594876,0
1677556460.0594876,1677556640.0594876,0
1677556640.0594876,1677556820.0594876,0
1677556820.0594876,1677557000.0594876,0
1677557000.0594876,1677557180.0594876,0
1677557180.0594876,1677557360.0594876,0
1677557360.0594876,1677557540.0594876,0
1677557540.0594876,1677557720.0594876,0
1677557720.0594876,1677557900.0594876,0
1677557900.0594876,1677558080.0594876,0
1677558080.0594876,1677558260.0594876,0
1677558260.0594876,1677558440.0594876,0
1677558440.0594876,1677558620.0594876,0
1677558620.0594876,1677558800.0594876,0
1677558800.0594876,1677558980.0594876,0
1677558980.0594876,1677559160.0594876,0
1677559160.0594876,1677559340.0594876,0
1677559340.0594876,1677559520.0594876,0
1677559520.0594876,1677559700.0594876,0
1677559700.0594876,1677559880.0594876,0
1677559880.0594876,1677560060.0594876,0
1677560060.0594876,1677560240.0594876,0
1677560240.0594876,1677560420.0594876,0
1677560420.0594876,1677560600.0594876,0
1677560600.0594876,1677560780.0594876,0
1677560780.0594876,1677560960.0594876,0
1677560960.0594876,1677561140.0594876,0
1677561140.0594876,1677561320.0594876,0
1677561320.0594876,1677561500.0594876,0
1677561500.0594876,1677561680.0594876,0
1677561680.0594876,1677561860.0594876,0
1677561860.0594876,1677562040.0594876,0
1677562040.0594876,1677562220.0594876,0
1677562220.0594876,1677562400.0594876,0
1677562400.0594876,1677562580.0594876,0
1677562580.0594876,1677562760.0594876,0
1677562760.0594876,1677562940.0594876,0
1677562940.0594876,1677563120.0594876,0
1677563120.0594876,1677563300.0594876,0
1677563300.0594876,1677563480.0594876,0
1677563480.0594876,1677563660.0594876,0
1677563660.0594876,1677563840.0594876,0
1677563840.0594876,1677564020.0594876,0
1677564020.0594876,1677564200.0594876,0
1677564200.0594876,1677564380.0594876,0
1677564380.0594876,1677564560.0594876,0
1677564560.0594876,1677564740.0594876,0
1677564740.0594876,1677564920.0594876,0
1677564920.0594876,1677565100.0594876,0
1677565100.0594876,1677565280.0594876,0
1677565280.0594876,1677565460.0594876,0
1677565460.0594876,1677565640.0594876,0
1677565640.0594876,1677565820.0594876,0
1677565820.0594876,1677566000.0594876,0
1677566000.0594876,1677566180.0594876,0
1677566180.0594876,1677566360.0594876,0
1677566360.0594876,1677566540.0594876,0
1677566540.0594876,1677566720.0594876,0
1677566720.0594876,1677566900.0594876,0
1677566900.0594876,1677567080.0594876,0
1677567080.0594876,1677567260.0594876,0
1677567260.0594876,1677567440.0594876,0
1677567440.0594876,1677567620.0594876,0
1677567620.0594876,1677567800.0594876,0
1677567800.0594876,1677567980.0594876,0
1677567980.0594876,1677568160.0594876,0
1677568160.0594876,1677568340.0594876,0
1677568340.0594876,1677568520.0594876,0
1677568520.0594876,1677568700.0594876,0
1677568700.0594876,1677568880.0594876,0
1677568880.0594876,1677569060.0594876,0
1677569060.0594876,1677569240.0594876,0
1677569240.0594876,1677569420.0594876,0
1677569420.0594876,1677569600.0594876,0
1677569600.0594876,1677569780.0594876,0
1677569780.0594876,1677569960.0594876,0
1677569960.0594876,1677570140.0594876,0
1677570140.0594876,1677570320.0594876,0
1677570320.0594876,1677570500.0594876,0
1677570500.0594876,1677570680.0594876,0
1677570680.0594876,1677570860.0594876,0
1677570860.0594876,1677571040.0594876,0
1677571040.0594876,1677571220.0594876,0
1677571220.0594876,1677571400.0594876,0
1677571400.0594876,1677571580.0594876,0
1677571580.0594876,1677571760.0594876,0
1677571760.0594876,1677571940.0594876,0
1677571940.0594876,1677572120.0594876,0
1677572120.0594876,1677572300.0594876,0
1677572300.0594876,1677572480.0594876,0
1677572480.0594876,1677572660.0594876,0
1677572660.0594876,1677572840.0594876,0
1677572840.0594876,1677573020.0594876,0
1677573020.0594876,1677573200.0594876,0
1677573200.0594876,1677573380.0594876,0
1677573380.0594876,1677573560.0594876,0
1677573560.0594876,1677573740.0594876,0
1677573740.0594876,1677573920.0594876,0
1677573920.0594876,1677574100.0594876,0
1677574100.0594876,1677574280.0594876,0
1677574280.0594876,1677574460.0594876,0
1677574460.0594876,1677574640.0594876,0
1677574640.0594876,1677574820.0594876,0
1677574820.0594876,1677575000.0594876,0
1677575000.0594876,1677575180.0594876,0
1677575180.0594876,1677575360.0594876,0
1677575360.0594876,1677575540.0594876,0
1677575540.0594876,1677575720.0594876,0
1677575720.0594876,1677575900.0594876,0
1677575900.0594876,1677576080.0594876,0
1677576080.0594876,1677576260.0594876,0
1677576260.0594876,1677576440.0594876,0
1677576440.0594876,1677576620.0594876,0
1677576620.0594876,1677576800.0594876,0
1677576800.0594876,1677576980.0594876,0
1677576980.0594876,1677577160.0594876,0
1677577160.0594876,1677577340.0594876,0
1677577340.0594876,1677577520.0594876,0
1677577520.0594876,1677577700.0594876,0
1677577700.0594876,1677577880.0594876,0
1677577880.0594876,1677578060.0594876,0
1677578060.0594876,1677578240.0594876,0
1677578240.0594876,1677578420.0594876,0
1677578420.0594876,1677578600.0594876,0
1677578600.0594876,1677578780.0594876,0
1677578780.0594876,1677578960.0594876,0
1677578960.0594876,1677579140.0594876,0
1677579140.0594876,1677579320.0594876,0
1677579320.0594876,1677579500.0594876,0
1677579500.0594876,1677579680.0594876,0
1677579680.0594876,1677579860.0594876,0
1677579860.0594876,1677580040.0594876,0
1677580040.0594876,1677580220.0594876,0
1677580220.0594876,1677580400.0594876,0
1677580400.0594876,1677580580.0594876,0
1677580580.0594876,1677580760.0594876,0
1677580760.0594876,1677580940.0594876,0
1677580940.0594876,1677581120.0594876,0
1677581120.0594876,1677581300.0594876,0
1677581300.0594876,1677581480.0594876,0
1677581480.0594876,1677581660.0594876,0
1677581660.0594876,1677581840.0594876,0
1677581840.0594876,1677582020.0594876,0
1677582020.0594876,1677582200.0594876,0
1677582200.0594876,1677582380.0594876,0
1677582380.0594876,1677582560.0594876,0
1677582560.0594876,1677582740.0594876,0
1677582740.0594876,1677582920.0594876,0
1677582920.0594876,1677583100.0594876,0
1677583100.0594876,1677583280.0594876,0
1677583280.0594876,1677583460.0594876,0
1677583460.0594876,1677583640.0594876,0
1677583640.0594876,1677583820.0594876,0
1677583820.0594876,1677584000.0594876,0
1677584000.0594876,1677584180.0594876,0
1677584180.0594876,1677584360.0594876,0
1677584360.0594876,1677584540.0594876,0
1677584540.0594876,1677584720.0594876,0
1677584720.0594876,1677584900.0594876,0
1677584900.0594876,1677585080.0594876,0
1677585080.0594876,1677585260.0594876,0
1677585260.0594876,1677585440.0594876,0
1677585440.0594876,1677585620.0594876,0
1677585620.0594876,1677585800.0594876,0
1677585800.0594876,1677585980.0594876,0
1677585980.0594876,1677586160.0594876,0
1677586160.0594876,1677586340.0594876,0
1677586340.0594876,1677586520.0594876,0
1677586520.0594876,1677586700.0594876,0
1677586700.0594876,1677586880.0594876,0
1677586880.0594876,1677587060.0594876,0
1677587060.0594876,1677587240.0594876,0
1677587240.0594876,1677587420.0594876,0
1677587420.0594876,1677587600.0594876,0
1677587600.0594876,1677587780.0594876,0
1677587780.0594876,1677587960.0594876,0
1677587960.0594876,1677588140.0594876,0
1677588140.0594876,1677588320.0594876,0
1677588320.0594876,1677588500.0594876,0
1677588500.0594876,1677588680.0594876,0
1677588680.0594876,1677588860.0594876,0
1677588860.0594876,1677589040.0594876,0
1677589040.0594876,1677589220.0594876,0
1677589220.0594876,1677589400.0594876,0
1677589400.0594876,1677589580.0594876,0
1677589580.0594876,1677589760.0594876,0
1677589760.0594876,1677589940.0594876,0
1677589940.0594876,1677590120.0594876,0
1677590120.0594876,1677590300.0594876,0
1677590300.0594876,1677590480.0594876,0
1677590480.0594876,1677590660.0594876,0
1677590660.0594876,1677590840.0594876,0
1677590840.0594876,1677591020.0594876,0
1677591020.0594876,1677591200.0594876,0
1677591200.0594876,1677591380.0594876,0
1677591380.0594876,1677591560.0594876,0
1677591560.0594876,1677591740.0594876,0
1677591740.0594876,1677591920.0594876,0
1677591920.0594876,1677592100.0594876,0
1677592100.0594876,1677592280.0594876,0
1677592280.0594876,1677592460.0594876,0
1677592460.0594876,1677592640.0594876,0
1677592640.0594876,1677592820.0594876,0
1677592820.0594876,1677593000.0594876,0
1677593000.0594876,1677593180.0594876,0
1677593180.0594876,1677593360.0594876,0
1677593360.0594876,1677593540.0594876,0
1677593540.0594876,1677593720.0594876,0
1677593720.0594876,1677593900.0594876,0
1677593900.0594876,1677594080.0594876,0
1677594080.0594876,1677594260.0594876,0
1677594260.0594876,1677594440.0594876,0
1677594440.0594876,1677594620.0594876,0
1677594620.0594876,1677594800.0594876,0
1677594800.0594876,1677594980.0594876,0
1677594980.0594876,1677595160.0594876,0
1677595160.0594876,1677595340.0594876,0
1677595340.0594876,1677595520.0594876,0
1677595520.0594876,1677595683.3733418,0
1677595683.3733418,1677595863.3733418,47
1677595863.3733418,1677595866.4892642,0
1677595866.4892642,1677596046.4892642,61
1677596046.4892642,1677596049.5189092,0
1677596049.5189092,1677596229.5189092,87
1677596229.5189092,1677596232.9718788,0
1677596232.9718788,1677596412.9718788,67
1677596412.9718788,1677596413.7380145,0
1677596413.7380145,1677596593.7380145,161
1677596593.7380145,1677596594.0527794,0
1677596594.0527794,1677596774.0527794,139
1677596774.0527794,1677596776.9250822,0
1677596776.9250822,1677596956.9250822,56
1677596956.9250822,1677596957.354207,0
1677596957.354207,1677597137.354207,39
1677597137.354207,1677597141.8935974,0
1677597141.8935974,1677597321.8935974,36
1677597321.8935974,1677597323.6088908,0
1677597323.6088908,1677597503.6088908,73
1677597503.6088908,1677597506.968293,0
1677597506.968293,1677597686.968293,74
1677597686.968293,1677597688.402051,0
1677597688.402051,1677597868.402051,46
1677597868.402051,1677597879.248857,0
1677597879.248857,1677598059.248857,77
1677598059.248857,1677598063.584821,0
1677598063.584821,1677598243.584821,108
1677598243.584821,1677598243.8301804,0
1677598243.8301804,1677598423.8301804,94
1677598423.8301804,1677598424.7313306,0
1677598424.7313306,1677598604.7313306,145
1677598604.7313306,1677598608.1503632,0
1677598608.1503632,1677598788.1503632,45
1677598788.1503632,1677598788.7329454,0
1677598788.7329454,1677598968.7329454,23
1677598968.7329454,1677598968.9578812,0
1677598968.9578812,1677599148.9578812,90
1677599148.9578812,1677599148.9944966,0
1677599148.9944966,1677599328.9944966,47
1677599328.9944966,1677599329.3387556,0
1677599329.3387556,1677599509.3387556,38
1677599509.3387556,1677599514.9348118,0
1677599514.9348118,1677599694.9348118,56
1677599694.9348118,1677599694.9999855,0
1677599694.9999855,1677599874.9999855,68
1677599874.9999855,1677599876.7050343,0
1677599876.7050343,1677600056.7050343,72
1677600056.7050343,1677600056.9460819,0
1677600056.9460819,1677600236.9460819,75
1677600236.9460819,1677600237.2035935,0
1677600237.2035935,1677600417.2035935,54
1677600417.2035935,1677600417.6095417,0
1677600417.6095417,1677600597.6095417,138
1677600597.6095417,1677600598.8591201,0
1677600598.8591201,1677600778.8591201,117
1677600778.8591201,1677600779.6615229,0
1677600779.6615229,1677600959.6615229,109
1677600959.6615229,1677600960.257936,0
1677600960.257936,1677601140.257936,206
1677601140.257936,1677601141.2370033,0
1677601141.2370033,1677601321.2370033,153
1677601321.2370033,1677601321.8754132,0
1677601321.8754132,1677601501.8754132,128
1677601501.8754132,1677601505.18188,0
1677601505.18188,1677601685.18188,81
1677601685.18188,1677601686.3132975,0
1677601686.3132975,1677601866.3132975,68
1677601866.3132975,1677601869.5216255,0
1677601869.5216255,1677602049.5216255,132
1677602049.5216255,1677602050.3770125,0
1677602050.3770125,1677602230.3770125,209
1677602230.3770125,1677602230.410386,0
1677602230.410386,1677602410.410386,107
1677602410.410386,1677602410.8632565,0
1677602410.8632565,1677602590.8632565,148
1677602590.8632565,1677602591.617282,0
1677602591.617282,1677602771.617282,166
1677602771.617282,1677602771.646138,0
1677602771.646138,1677602951.646138,170
1677602951.646138,1677602951.7755034,0
1677602951.7755034,1677603131.7755034,136
1677603131.7755034,1677603132.2235892,0
1677603132.2235892,1677603312.2235892,183
1677603312.2235892,1677603313.5028076,0
1677603313.5028076,1677603493.5028076,92
1677603493.5028076,1677603494.0631082,0
1677603494.0631082,1677603674.0631082,121
1677603674.0631082,1677603674.3589895,0
1677603674.3589895,1677603854.3589895,166
1677603854.3589895,1677603856.421666,0
1677603856.421666,1677604036.421666,124
1677604036.421666,1677604037.2968009,0
1677604037.2968009,1677604217.2968009,69
1677604217.2968009,1677604217.5711982,0
1677604217.5711982,1677604397.5711982,140
1677604397.5711982,1677604398.6334295,0
1677604398.6334295,1677604578.6334295,80
1677604578.6334295,1677604579.374615,0
1677604579.374615,1677604759.374615,62
1677604759.374615,1677604759.6437027,0
1677604759.6437027,1677604939.6437027,70
1677604939.6437027,1677604939.809715,0
1677604939.809715,1677605119.809715,66
1677605119.809715,1677605134.4741132,0
1677605134.4741132,1677605314.4741132,65
1677605314.4741132,1677605318.1655095,0
1677605318.1655095,1677605498.1655095,96
1677605498.1655095,1677605498.8093228,0
1677605498.8093228,1677605678.8093228,91
1677605678.8093228,1677605680.2101548,0
1677605680.2101548,1677605860.2101548,62
1677605860.2101548,1677605862.8963354,0
1677605862.8963354,1677606042.8963354,72
1677606042.8963354,1677606043.4485345,0
1677606043.4485345,1677606223.4485345,44
1677606223.4485345,1677606223.8101456,0
1677606223.8101456,1677606403.8101456,65
1677606403.8101456,1677606404.6225133,0
1677606404.6225133,1677606584.6225133,66
1677606584.6225133,1677606589.5535622,0
1677606589.5535622,1677606769.5535622,62
1677606769.5535622,1677606769.6451242,0
1677606769.6451242,1677606949.6451242,56
1677606949.6451242,1677606953.8548334,0
1677606953.8548334,1677607133.8548334,94
