Bin start,Bin end,Number of unique MAC addresses
1677702079.5823593,1677702097.5742474,0
1677702097.5742474,1677702277.5742474,15
1677702277.5742474,1677702290.9784133,0
1677702290.9784133,1677702470.9784133,17
1677702470.9784133,1677702488.7888603,0
1677702488.7888603,1677702668.7888603,9
1677702668.7888603,1677702668.8555653,0
1677702668.8555653,1677702848.8555653,15
1677702848.8555653,1677702881.3756294,0
1677702881.3756294,1677703061.3756294,15
1677703061.3756294,1677703061.6501234,0
1677703061.6501234,1677703241.6501234,18
1677703241.6501234,1677703265.0629842,0
1677703265.0629842,1677703445.0629842,10
1677703445.0629842,1677703449.1898093,0
1677703449.1898093,1677703629.1898093,11
1677703629.1898093,1677703635.0000055,0
1677703635.0000055,1677703815.0000055,18
1677703815.0000055,1677703824.1859415,0
1677703824.1859415,1677704004.1859415,7
1677704004.1859415,1677704014.1814363,0
1677704014.1814363,1677704194.1814363,8
1677704194.1814363,1677704196.9868553,0
1677704196.9868553,1677704376.9868553,15
1677704376.9868553,1677704383.0934472,0
1677704383.0934472,1677704563.0934472,22
1677704563.0934472,1677704575.6695783,0
1677704575.6695783,1677704755.6695783,19
1677704755.6695783,1677704767.2024403,0
1677704767.2024403,1677704947.2024403,9
1677704947.2024403,1677704961.3396285,0
1677704961.3396285,1677705141.3396285,7
1677705141.3396285,1677705147.0465074,0
1677705147.0465074,1677705327.0465074,8
1677705327.0465074,1677705359.5877333,0
1677705359.5877333,1677705539.5877333,2
1677705539.5877333,1677705719.5877333,0
1677705719.5877333,1677705899.5877333,0
1677705899.5877333,1677706079.5877333,0
1677706079.5877333,1677706259.5877333,0
1677706259.5877333,1677706268.2695525,0
1677706268.2695525,1677706448.2695525,34
1677706448.2695525,1677706492.3647196,0
1677706492.3647196,1677706672.3647196,21
1677706672.3647196,1677706690.0050337,0
1677706690.0050337,1677706870.0050337,16
1677706870.0050337,1677706877.1363225,0
1677706877.1363225,1677707057.1363225,5
1677707057.1363225,1677707090.7968426,0
1677707090.7968426,1677707270.7968426,8
1677707270.7968426,1677707288.8407183,0
1677707288.8407183,1677707468.8407183,15
1677707468.8407183,1677707481.5361786,0
1677707481.5361786,1677707661.5361786,10
1677707661.5361786,1677707667.1793404,0
1677707667.1793404,1677707847.1793404,8
1677707847.1793404,1677707849.6500237,0
1677707849.6500237,1677708029.6500237,7
1677708029.6500237,1677708039.138913,0
1677708039.138913,1677708219.138913,5
1677708219.138913,1677708238.345487,0
1677708238.345487,1677708418.345487,7
1677708418.345487,1677708430.3756807,0
1677708430.3756807,1677708610.3756807,10
1677708610.3756807,1677708611.1770303,0
1677708611.1770303,1677708791.1770303,9
1677708791.1770303,1677708809.18239,0
1677708809.18239,1677708989.18239,9
1677708989.18239,1677708996.6678922,0
1677708996.6678922,1677709176.6678922,8
1677709176.6678922,1677709183.2745883,0
1677709183.2745883,1677709363.2745883,5
1677709363.2745883,1677709375.9698577,0
1677709375.9698577,1677709555.9698577,10
1677709555.9698577,1677709557.2315166,0
1677709557.2315166,1677709737.2315166,6
1677709737.2315166,1677709766.1177452,0
1677709766.1177452,1677709946.1177452,9
1677709946.1177452,1677709997.1363246,0
1677709997.1363246,1677710177.1363246,5
1677710177.1363246,1677710181.4480376,0
1677710181.4480376,1677710361.4480376,20
1677710361.4480376,1677710379.842903,0
1677710379.842903,1677710559.842903,5
1677710559.842903,1677710623.777099,0
1677710623.777099,1677710803.777099,11
1677710803.777099,1677710808.6089656,0
1677710808.6089656,1677710988.6089656,7
1677710988.6089656,1677710993.0096552,0
1677710993.0096552,1677711173.0096552,7
1677711173.0096552,1677711203.7190864,0
1677711203.7190864,1677711383.7190864,4
1677711383.7190864,1677711387.944745,0
1677711387.944745,1677711567.944745,16
1677711567.944745,1677711571.8992894,0
1677711571.8992894,1677711751.8992894,6
1677711751.8992894,1677711756.4692926,0
1677711756.4692926,1677711936.4692926,7
1677711936.4692926,1677711974.5293999,0
1677711974.5293999,1677712154.5293999,3
1677712154.5293999,1677712158.512701,0
1677712158.512701,1677712338.512701,4
1677712338.512701,1677712342.656956,0
1677712342.656956,1677712522.656956,5
1677712522.656956,1677712541.0704412,0
1677712541.0704412,1677712721.0704412,6
1677712721.0704412,1677712732.8966181,0
1677712732.8966181,1677712912.8966181,9
1677712912.8966181,1677712923.1751103,0
1677712923.1751103,1677713103.1751103,14
1677713103.1751103,1677713115.3858488,0
1677713115.3858488,1677713295.3858488,4
1677713295.3858488,1677713319.62703,0
1677713319.62703,1677713499.62703,5
1677713499.62703,1677713505.190787,0
1677713505.190787,1677713685.190787,2
1677713685.190787,1677713724.0903773,0
1677713724.0903773,1677713904.0903773,5
1677713904.0903773,1677713946.60345,0
1677713946.60345,1677714126.60345,9
1677714126.60345,1677714135.2559023,0
1677714135.2559023,1677714315.2559023,4
1677714315.2559023,1677714436.917451,0
1677714436.917451,1677714616.917451,9
1677714616.917451,1677714636.1724167,0
1677714636.1724167,1677714816.1724167,3
1677714816.1724167,1677714833.7476661,0
1677714833.7476661,1677715013.7476661,5
1677715013.7476661,1677715037.0328712,0
1677715037.0328712,1677715217.0328712,6
1677715217.0328712,1677715235.3113532,0
1677715235.3113532,1677715415.3113532,6
1677715415.3113532,1677715457.485513,0
1677715457.485513,1677715637.485513,3
1677715637.485513,1677715652.4759946,0
1677715652.4759946,1677715832.4759946,3
1677715832.4759946,1677715833.7399983,0
1677715833.7399983,1677716013.7399983,4
1677716013.7399983,1677716025.3012664,0
1677716025.3012664,1677716205.3012664,4
1677716205.3012664,1677716270.8772843,0
1677716270.8772843,1677716450.8772843,7
1677716450.8772843,1677716473.3380256,0
1677716473.3380256,1677716653.3380256,8
1677716653.3380256,1677716655.4844599,0
1677716655.4844599,1677716835.4844599,3
1677716835.4844599,1677716876.5393028,0
1677716876.5393028,1677717056.5393028,4
1677717056.5393028,1677717123.2719793,0
1677717123.2719793,1677717303.2719793,9
1677717303.2719793,1677717311.702498,0
1677717311.702498,1677717491.702498,6
1677717491.702498,1677717512.8913822,0
1677717512.8913822,1677717692.8913822,4
1677717692.8913822,1677717696.8040137,0
1677717696.8040137,1677717876.8040137,6
1677717876.8040137,1677717878.3659265,0
1677717878.3659265,1677718058.3659265,6
1677718058.3659265,1677718065.3801777,0
1677718065.3801777,1677718245.3801777,5
1677718245.3801777,1677718266.2326102,0
1677718266.2326102,1677718446.2326102,7
1677718446.2326102,1677718482.2704647,0
1677718482.2704647,1677718662.2704647,8
1677718662.2704647,1677718695.4477441,0
1677718695.4477441,1677718875.4477441,2
