Bin start,Bin end,Number of unique MAC addresses
1677621133.2317755,1677621313.2317755,23
1677621313.2317755,1677621315.6102266,0
1677621315.6102266,1677621495.6102266,12
1677621495.6102266,1677621496.2699888,0
1677621496.2699888,1677621676.2699888,20
1677621676.2699888,1677621681.4602685,0
1677621681.4602685,1677621861.4602685,27
1677621861.4602685,1677621866.9816382,0
1677621866.9816382,1677622046.9816382,29
1677622046.9816382,1677622050.3715978,0
1677622050.3715978,1677622230.3715978,12
1677622230.3715978,1677622232.0571268,0
1677622232.0571268,1677622412.0571268,16
1677622412.0571268,1677622412.1930528,0
1677622412.1930528,1677622592.1930528,12
1677622592.1930528,1677622592.2612343,0
1677622592.2612343,1677622772.2612343,27
1677622772.2612343,1677622776.3497708,0
1677622776.3497708,1677622956.3497708,19
1677622956.3497708,1677622964.342649,0
1677622964.342649,1677623144.342649,23
1677623144.342649,1677623157.8354936,0
1677623157.8354936,1677623337.8354936,18
1677623337.8354936,1677623344.186038,0
1677623344.186038,1677623524.186038,15
1677623524.186038,1677623525.9460027,0
1677623525.9460027,1677623705.9460027,16
1677623705.9460027,1677623711.7770982,0
1677623711.7770982,1677623891.7770982,21
1677623891.7770982,1677623892.537836,0
1677623892.537836,1677624072.537836,37
1677624072.537836,1677624073.4348328,0
1677624073.4348328,1677624253.4348328,29
1677624253.4348328,1677624260.082426,0
1677624260.082426,1677624440.082426,21
1677624440.082426,1677624443.6662152,0
1677624443.6662152,1677624623.6662152,21
1677624623.6662152,1677624630.002191,0
1677624630.002191,1677624810.002191,20
1677624810.002191,1677624817.6733172,0
1677624817.6733172,1677624997.6733172,14
1677624997.6733172,1677625009.725901,0
1677625009.725901,1677625189.725901,20
1677625189.725901,1677625193.2366858,0
1677625193.2366858,1677625373.2366858,18
1677625373.2366858,1677625373.3162732,0
1677625373.3162732,1677625553.3162732,21
1677625553.3162732,1677625559.8654928,0
1677625559.8654928,1677625739.8654928,17
1677625739.8654928,1677625741.1850758,0
1677625741.1850758,1677625921.1850758,11
1677625921.1850758,1677625931.6369078,0
1677625931.6369078,1677626111.6369078,15
1677626111.6369078,1677626118.1227553,0
1677626118.1227553,1677626298.1227553,28
1677626298.1227553,1677626300.6345415,0
1677626300.6345415,1677626480.6345415,13
1677626480.6345415,1677626482.8130927,0
1677626482.8130927,1677626662.8130927,9
1677626662.8130927,1677626665.5661469,0
1677626665.5661469,1677626845.5661469,21
1677626845.5661469,1677626855.9124486,0
1677626855.9124486,1677627035.9124486,11
1677627035.9124486,1677627060.1941073,0
1677627060.1941073,1677627240.1941073,15
1677627240.1941073,1677627247.3793287,0
1677627247.3793287,1677627427.3793287,8
1677627427.3793287,1677627443.6613884,0
1677627443.6613884,1677627623.6613884,12
1677627623.6613884,1677627636.0563326,0
1677627636.0563326,1677627816.0563326,10
1677627816.0563326,1677627821.2506468,0
1677627821.2506468,1677628001.2506468,16
1677628001.2506468,1677628018.4651623,0
1677628018.4651623,1677628198.4651623,10
1677628198.4651623,1677628228.874099,0
1677628228.874099,1677628408.874099,14
1677628408.874099,1677628409.8107421,0
1677628409.8107421,1677628589.8107421,13
1677628589.8107421,1677628593.9448817,0
1677628593.9448817,1677628773.9448817,8
1677628773.9448817,1677628775.5269125,0
1677628775.5269125,1677628955.5269125,12
1677628955.5269125,1677628960.1494606,0
1677628960.1494606,1677629140.1494606,14
1677629140.1494606,1677629148.0024643,0
1677629148.0024643,1677629328.0024643,8
1677629328.0024643,1677629341.6763885,0
1677629341.6763885,1677629521.6763885,13
1677629521.6763885,1677629535.310981,0
1677629535.310981,1677629715.310981,15
1677629715.310981,1677629722.0789518,0
1677629722.0789518,1677629902.0789518,13
1677629902.0789518,1677629903.967092,0
1677629903.967092,1677630083.967092,14
1677630083.967092,1677630089.4305806,0
1677630089.4305806,1677630269.4305806,12
1677630269.4305806,1677630275.7293577,0
1677630275.7293577,1677630455.7293577,15
1677630455.7293577,1677630491.663983,0
1677630491.663983,1677630671.663983,12
1677630671.663983,1677630672.7062626,0
1677630672.7062626,1677630852.7062626,14
1677630852.7062626,1677630853.9564393,0
1677630853.9564393,1677631033.9564393,12
1677631033.9564393,1677631048.5050104,0
1677631048.5050104,1677631228.5050104,16
1677631228.5050104,1677631247.485409,0
1677631247.485409,1677631427.485409,13
1677631427.485409,1677631433.258464,0
1677631433.258464,1677631613.258464,13
1677631613.258464,1677631618.1280136,0
1677631618.1280136,1677631798.1280136,12
1677631798.1280136,1677631805.4084194,0
1677631805.4084194,1677631985.4084194,14
1677631985.4084194,1677631992.8791912,0
1677631992.8791912,1677632172.8791912,8
1677632172.8791912,1677632188.2510448,0
1677632188.2510448,1677632368.2510448,6
1677632368.2510448,1677632373.7765584,0
1677632373.7765584,1677632553.7765584,9
1677632553.7765584,1677632567.6625013,0
1677632567.6625013,1677632747.6625013,7
1677632747.6625013,1677632752.589358,0
1677632752.589358,1677632932.589358,7
1677632932.589358,1677632934.80729,0
1677632934.80729,1677633114.80729,12
1677633114.80729,1677633148.2004068,0
1677633148.2004068,1677633328.2004068,9
1677633328.2004068,1677633340.37289,0
1677633340.37289,1677633520.37289,8
1677633520.37289,1677633544.4359193,0
1677633544.4359193,1677633724.4359193,10
1677633724.4359193,1677633733.1176243,0
1677633733.1176243,1677633913.1176243,7
1677633913.1176243,1677633919.6397493,0
1677633919.6397493,1677634099.6397493,7
1677634099.6397493,1677634117.7504923,0
1677634117.7504923,1677634297.7504923,12
1677634297.7504923,1677634313.697404,0
1677634313.697404,1677634493.697404,11
1677634493.697404,1677634496.3709254,0
1677634496.3709254,1677634676.3709254,11
1677634676.3709254,1677634678.4545577,0
